aligned_name,TAXON_ID,taxon_name,COMMON_NAME,TaxaGroup,TAXON_TYPE,taxon_rank,Extinction_Risk,FFG_Status,Sci_Name_Alt
Hydromys chrysogaster,11415,Hydromys chrysogaster,Water Rat,Mammals,Mammals,Species,NotListed,NotListed,Hydromys chrysogaster
Nycticorax caledonicus hillii,10192,Nycticorax caledonicus hillii,Nankeen Night Heron,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Nycticorax caledonicus
Perameles nasuta,11097,Perameles nasuta,Long-nosed Bandicoot,Mammals,Mammals,Species,NotListed,NotListed,Perameles nasuta
Northiella haematogaster,10297,Northiella haematogaster,Blue Bonnet,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Northiella haematogaster
Underwoodisaurus milii,12138,Underwoodisaurus milii,Thick-tailed Barking Gecko,Reptiles,Reptiles,Species,NotListed,NotListed,Underwoodisaurus milii
Monarcha melanopsis,10373,Monarcha melanopsis,Black-faced Monarch,Birds,Passerine birds,Species,NotListed,NotListed,Monarcha melanopsis
Cereopsis novaehollandiae,10198,Cereopsis novaehollandiae,Cape Barren Goose,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Cereopsis novaehollandiae
Strophurus intermedius,12059,Strophurus intermedius,Southern Spiny-tailed Gecko,Reptiles,Reptiles,Species,NotListed,NotListed,Strophurus intermedius
Drymodes brunneopygia,10441,Drymodes brunneopygia,Southern Scrub-robin,Birds,Passerine birds,Species,NotListed,NotListed,Drymodes brunneopygia
Sugamel niger,10589,Sugamel niger,Black Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Sugomel nigrum
Intellagama lesueurii howittii,62919,Intellagama lesueurii howittii,Gippsland Water Dragon,Reptiles,Reptiles,Species,NotListed,NotListed,Intellagama lesueurii
Gallinago hardwickii,10168,Gallinago hardwickii,Latham's Snipe,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Gallinago hardwickii
Biziura lobata,10217,Biziura lobata,Musk Duck,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Biziura lobata
Gallirallus philippensis,10046,Gallirallus philippensis,Buff-banded Rail,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Hypotaenidia philippensis
Myzomela sanguinolenta,10586,Myzomela sanguinolenta,Scarlet Honeyeater,Birds,Passerine birds,Species,NotListed,NotListed,Myzomela sanguinolenta
Plegadis falcinellus,10178,Plegadis falcinellus,Glossy Ibis,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Plegadis falcinellus
Lialis burtonis,12170,Lialis burtonis,Burton's Snake-Lizard,Reptiles,Reptiles,Species,NotListed,NotListed,Lialis burtonis
Paracrinia haswelli,13103,Paracrinia haswelli,Haswell's Froglet,Amphibians,Amphibians,Species,NotListed,NotListed,Paracrinia haswelli
Carlia tetradactyla,12318,Carlia tetradactyla,Southern Rainbow Skink,Reptiles,Reptiles,Species,NotListed,NotListed,Carlia tetradactyla
Cladorhynchus leucocephalus,10147,Cladorhynchus leucocephalus,Banded Stilt,Birds,Waders,Species,NotListed,NotListed,Cladorhynchus leucocephalus
Petauroides volans,11133,Petauroides volans,Greater Glider,Mammals,Mammals,Species,Australia,Endangered,Petauroides volans
Gehyra variegata,12092,Gehyra variegata,Tree Dtella,Reptiles,Reptiles,Species,NotListed,NotListed,Gehyra variegata
Tachybaptus novaehollandiae,10061,Tachybaptus novaehollandiae,Australasian Grebe,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Tachybaptus novaehollandiae
Myotis macropus,11357,Myotis macropus,Southern Myotis,Mammals,Bats,Species,NotListed,NotListed,Myotis macropus
Alcedo azurea,10319,Alcedo azurea,Azure Kingfisher,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Ceyx azureus
Ningaui yvonneae,11055,Ningaui yvonneae,Mallee Ningaui,Mammals,Mammals,Species,NotListed,NotListed,Ningaui yvonneae
Actitis hypoleucos,10157,Actitis hypoleucos,Common Sandpiper,Birds,Waders,Species,Victoria,Vulnerable,Actitis hypoleucos
Demansia psammophis,12655,Demansia psammophis,Yellow-faced Whip Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Demansia psammophis
Stiltia isabella,10173,Stiltia isabella,Australian Pratincole,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Stiltia isabella
Notomys mitchelli,11480,Notomys mitchelli,Mitchell's Hopping-mouse,Mammals,Mammals,Species,NotListed,NotListed,Notomys mitchellii
Scythrops novaehollandiae,10348,Scythrops novaehollandiae,Channel-billed Cuckoo,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Scythrops novaehollandiae
Suta suta,12722,Suta suta,Curl Snake,Reptiles,Reptiles,Species,NotListed,NotListed,Suta suta
Pseudophryne semimarmorata,13125,Pseudophryne semimarmorata,Southern Toadlet,Amphibians,Amphibians,Species,Victoria,Endangered,Pseudophryne semimarmorata
Heteronotia binoei,12105,Heteronotia binoei,Bynoe's Gecko,Reptiles,Reptiles,Species,NotListed,NotListed,Heteronotia binoei
Philomachus pugnax,10934,Philomachus pugnax,Ruff,Birds,Waders,Species,NotListed,NotListed,Calidris pugnax
Sterna striata,10114,Sterna striata,White-fronted Tern,Birds,Waders,Species,NotListed,NotListed,Sterna striata
Limosa lapponica,10153,Limosa lapponica,Bar-tailed Godwit,Birds,Waders,Species,Australia,Vulnerable,Limosa lapponica
Amytornis striatus striatus,10513,Amytornis striatus striatus,Striated Grasswren,Birds,Passerine birds,Species,NotListed,NotListed,Amytornis striatus
Erythrogonys cinctus,10132,Erythrogonys cinctus,Red-kneed Dotterel,Birds,Waders,Species,NotListed,NotListed,Erythrogonys cinctus
Columba leucomela,10028,Columba leucomela,White-headed Pigeon,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Columba leucomela
Thalasseus bergii,10115,Thalasseus bergii,Crested Tern,Birds,Waders,Species,NotListed,NotListed,Thalasseus bergii
Arenaria interpres,10129,Arenaria interpres,Ruddy Turnstone,Birds,Waders,Species,Victoria,Endangered,Arenaria interpres
Eudynamys orientalis,10347,Eudynamys orientalis,Eastern Koel,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Eudynamys orientalis
Dicrurus bracteatus,10673,Dicrurus bracteatus,Spangled Drongo,Birds,Passerine birds,Species,NotListed,NotListed,Dicrurus bracteatus
Podiceps cristatus,10060,Podiceps cristatus,Great Crested Grebe,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Podiceps cristatus
Emydura macquarii,5135,Emydura macquarii,Murray River Turtle,Reptiles,Reptiles,Species,Victoria,Critically Endangered,Emydura macquarii
Macropygia amboinensis,10029,Macropygia amboinensis,Brown Cuckoo-Dove,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Macropygia amboinensis
Pandion cristatus,10241,Pandion cristatus,Osprey,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Pandion haliaetus
Butorides striatus,10193,Butorides striatus,Striated Heron,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Butorides striata
Litoria dentata,528551,Litoria dentata,Keferstein's Tree Frog,Amphibians,Amphibians,Species,Victoria,Critically Endangered,Litoria dentata
Stagonopleura guttata,10652,Stagonopleura guttata,Diamond Firetail,Birds,Passerine birds,Species,Victoria,Vulnerable,Stagonopleura guttata
Porzana pusilla palustris,10050,Porzana pusilla palustris,Baillon's Crake,Birds,Other Non-passerine birds,Species,NotListed,NotListed,Zapornia pusilla
Ardea alba modesta,10187,Ardea alba modesta,Eastern Great Egret,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Ardea alba
Litoria raniformis,13207,Litoria raniformis,Growling Grass Frog,Amphibians,Amphibians,Species,Victoria,Vulnerable,Litoria raniformis
Antigone rubicunda,10177,Antigone rubicunda,Brolga,Birds,Other Non-passerine birds,Species,Victoria,Endangered,Antigone rubicunda
Melanodryas cucullata,10385,Melanodryas cucullata,Hooded Robin,Birds,Passerine birds,Species,Victoria,Vulnerable,Melanodryas cucullata
Lewinia pectoralis,10045,Lewinia pectoralis,Lewin's Rail,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Lewinia pectoralis
Oxyura australis,10216,Oxyura australis,Blue-billed Duck,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Oxyura australis
Struthidea cinerea,10675,Struthidea cinerea,Apostlebird,Birds,Passerine birds,Species,Victoria,Vulnerable,Struthidea cinerea
Ardea intermedia plumifera,10186,Ardea intermedia plumifera,Intermediate Egret,Birds,Other Non-passerine birds,Species,Victoria,Critically Endangered,Ardea intermedia
Geopelia cuneata,10031,Geopelia cuneata,Diamond Dove,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Geopelia cuneata
Accipiter novaehollandiae,10220,Accipiter novaehollandiae,Grey Goshawk,Birds,Other Non-passerine birds,Species,Victoria,Endangered,Accipiter novaehollandiae
Delma impar,12159,Delma impar,Striped Legless Lizard,Reptiles,Reptiles,Species,Victoria,Endangered,Delma impar
Morelia spilota metcalfei,62969,Morelia spilota metcalfei,Carpet Python,Reptiles,Reptiles,Species,Victoria,Endangered,Morelia spilota
Lophocroa leadbeateri,10270,Lophocroa leadbeateri,Major Mitchell's Cockatoo,Birds,Other Non-passerine birds,Species,Victoria,Critically Endangered,Cacatua leadbeateri
Ninox strenua,10248,Ninox strenua,Powerful Owl,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Ninox strenua
Burhinus grallarius,10174,Burhinus grallarius,Bush Stone-curlew,Birds,Other Non-passerine birds,Species,Victoria,Critically Endangered,Burhinus grallarius
Grantiella picta,10598,Grantiella picta,Painted Honeyeater,Birds,Passerine birds,Species,Australia,Vulnerable,Grantiella picta
Isoodon obesulus obesulus,61092,Isoodon obesulus obesulus,Southern Brown Bandicoot,Mammals,Mammals,Species,Australia,Endangered,Isoodon obesulus
Stictonetta naevosa,10214,Stictonetta naevosa,Freckled Duck,Birds,Other Non-passerine birds,Species,Victoria,Endangered,Stictonetta naevosa
Pomatostomus temporalis,10443,Pomatostomus temporalis,Grey-crowned Babbler,Birds,Passerine birds,Species,Victoria,Vulnerable,Pomatostomus temporalis
Leipoa ocellata,10007,Leipoa ocellata,Malleefowl,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Leipoa ocellata
Phascogale tapoatafa,11017,Phascogale tapoatafa,Brush-tailed Phascogale,Mammals,Mammals,Species,Victoria,Vulnerable,Phascogale tapoatafa
Egretta garzetta nigripes,10185,Egretta garzetta nigripes,Little Egret,Birds,Other Non-passerine birds,Species,Victoria,Endangered,Egretta garzetta
Vermicella annulata,12734,Vermicella annulata,Bandy Bandy,Reptiles,Reptiles,Species,Victoria,Endangered,Vermicella annulata
Acanthiza iredalei hedleyi,10482,Acanthiza iredalei hedleyi,Slender-billed Thornbill,Birds,Passerine birds,Species,Victoria,Endangered,Acanthiza iredalei
Miniopterus orianae oceanensis,61342,Miniopterus orianae oceanensis,Common Bent-wing Bat (eastern ssp.),Mammals,Bats,Species,Victoria,Critically Endangered,Miniopterus schreibersii
Lophoictinia isura,10230,Lophoictinia isura,Square-tailed Kite,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Lophoictinia isura
Gelochelidon nilotica macrotarsa,10111,Gelochelidon nilotica macrotarsa,Gull-billed Tern,Birds,Waders,Species,Victoria,Endangered,Gelochelidon nilotica
Anseranas semipalmata,10199,Anseranas semipalmata,Magpie Goose,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Anseranas semipalmata
Calamanthus pyrrhopygius,10498,Calamanthus pyrrhopygius,Chestnut-rumped Heathwren,Birds,Passerine birds,Species,Victoria,Vulnerable,Calamanthus pyrrhopygius
Potorous tridactylus trisulcatus,11175,Potorous tridactylus trisulcatus,Long-nosed Potoroo,Mammals,Mammals,Species,Australia,Vulnerable,Potorous tridactylus
Limnodynastes interioris,13060,Limnodynastes interioris,Giant Bullfrog,Amphibians,Amphibians,Species,Victoria,Endangered,Limnodynastes interioris
Sminthopsis leucopus,11069,Sminthopsis leucopus,White-footed Dunnart,Mammals,Mammals,Species,Victoria,Vulnerable,Sminthopsis leucopus
Oreoica gutturalis,10419,Oreoica gutturalis,Crested Bellbird,Birds,Passerine birds,Species,Victoria,Endangered,Oreoica gutturalis
Pyrrholaemus sagittatus,10504,Pyrrholaemus sagittatus,Speckled Warbler,Birds,Passerine birds,Species,Victoria,Endangered,Pyrrholaemus sagittatus
Climacteris affinis,10561,Climacteris affinis,White-browed Treecreeper,Birds,Passerine birds,Species,Victoria,Endangered,Climacteris affinis
Botaurus poiciloptilus,10197,Botaurus poiciloptilus,Australasian Bittern,Birds,Other Non-passerine birds,Species,Victoria,Critically Endangered,Botaurus poiciloptilus
Tyto tenebricosa,10253,Tyto tenebricosa,Sooty Owl,Birds,Other Non-passerine birds,Species,Victoria,Endangered,Tyto tenebricosa
Ninox connivens,10246,Ninox connivens,Barking Owl,Birds,Other Non-passerine birds,Species,Victoria,Critically Endangered,Ninox connivens
Pseudophryne bibronii,13117,Pseudophryne bibronii,Brown Toadlet,Amphibians,Amphibians,Species,Victoria,Endangered,Pseudophryne bibronii
Haliaeetus leucogaster,10226,Haliaeetus leucogaster,White-bellied Sea-Eagle,Birds,Other Non-passerine birds,Species,Victoria,Endangered,Haliaeetus leucogaster
Nyctophilus corbeni,61332,Nyctophilus corbeni,South-eastern Long-eared Bat,Mammals,Bats,Species,Victoria,Endangered,Nyctophilus corbeni
Polytelis anthopeplus monarchoides,10278,Polytelis anthopeplus monarchoides,Regent Parrot,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Polytelis anthopeplus
Potorous longipes,11179,Potorous longipes,Long-footed Potoroo,Mammals,Mammals,Species,Australia,Endangered,Potorous longipes
Rostratula australis,10170,Rostratula australis,Australian Painted Snipe,Birds,Other Non-passerine birds,Species,Victoria,Critically Endangered,Rostratula australis
Varanus rosenbergi,12287,Varanus rosenbergi,Rosenberg's Goanna,Reptiles,Reptiles,Species,Victoria,Critically Endangered,Varanus rosenbergi
Dasyurus maculatus maculatus,11008,Dasyurus maculatus maculatus,Spot-tailed Quoll,Mammals,Mammals,Species,Victoria,Endangered,Dasyurus maculatus
Rhinolophus megaphyllus megaphyllus,11303,Rhinolophus megaphyllus megaphyllus,Eastern Horseshoe Bat,Mammals,Bats,Species,Victoria,Endangered,Rhinolophus megaphyllus
Lathamus discolor,10309,Lathamus discolor,Swift Parrot,Birds,Other Non-passerine birds,Species,Australia,Critically Endangered,Lathamus discolor
Calyptorhynchus banksii graptogyne,10264,Calyptorhynchus banksii graptogyne,Red-tailed Black-Cockatoo,Birds,Other Non-passerine birds,Species,Victoria,Endangered,Calyptorhynchus banksii
Pseudomys fumeus,11458,Pseudomys fumeus,Smoky Mouse,Mammals,Mammals,Species,Victoria,Endangered,Pseudomys fumeus
Petaurus norfolcensis,11137,Petaurus norfolcensis,Squirrel Glider,Mammals,Mammals,Species,Victoria,Vulnerable,Petaurus norfolcensis
Polytelis swainsonii,10277,Polytelis swainsonii,Superb Parrot,Birds,Other Non-passerine birds,Species,Victoria,Endangered,Polytelis swainsonii
Morethia adelaidensis,12525,Morethia adelaidensis,Samphire Skink,Reptiles,Reptiles,Species,Victoria,Endangered,Morethia adelaidensis
Neophema pulchella,10302,Neophema pulchella,Turquoise Parrot,Birds,Other Non-passerine birds,Species,Victoria,Vulnerable,Neophema pulchella
Drysdalia mastersii,12666,Drysdalia mastersii,Masters' Snake,Reptiles,Reptiles,Species,Victoria,Critically Endangered,Drysdalia mastersii
Miniopterus orianae bassanii,61343,Miniopterus orianae bassanii,Common Bent-wing Bat (southern ssp.),Mammals,Bats,Species,Victoria,Critically Endangered,Miniopterus schreibersii
Stipiturus mallee,10527,Stipiturus mallee,Mallee Emu-wren,Birds,Passerine birds,Species,Victoria,Endangered,Stipiturus mallee
Aprasia striolata,12150,Aprasia striolata,Striped Worm-Lizard,Reptiles,Reptiles,Species,Victoria,Endangered,Aprasia striolata
Osphranter robustus robustus,61266,Osphranter robustus robustus,Eastern Wallaroo,Mammals,Mammals,Species,Victoria,Endangered,Macropus robustus
Pseudomys shortridgei,11468,Pseudomys shortridgei,Heath Mouse,Mammals,Mammals,Species,Australia,Endangered,Pseudomys shortridgei
Pteropus poliocephalus,11280,Pteropus poliocephalus,Grey-headed Flying-fox,Mammals,Bats,Species,Victoria,Vulnerable,Pteropus poliocephalus
Xenus cinereus,10160,Xenus cinereus,Terek Sandpiper,Birds,Waders,Species,Victoria,Endangered,Xenus cinereus
Ardeotis australis,10176,Ardeotis australis,Australian Bustard,Birds,Other Non-passerine birds,Species,Victoria,Critically Endangered,Ardeotis australis
Saccolaimus flaviventris,11321,Saccolaimus flaviventris,Yellow-bellied Sheathtail Bat,Mammals,Bats,Species,Victoria,Vulnerable,Saccolaimus flaviventris
Tyto novaehollandiae,10250,Tyto novaehollandiae,Masked Owl,Birds,Other Non-passerine birds,Species,Victoria,Critically Endangered,Tyto novaehollandiae
Uperoleia rugosa,13151,Uperoleia rugosa,Rugose Toadlet,Amphibians,Amphibians,Species,Victoria,Endangered,Uperoleia rugosa
Hydroprogne caspia,10112,Hydroprogne caspia,Caspian Tern,Birds,Waders,Species,Victoria,Vulnerable,Hydroprogne caspia
Lerista timida,12492,Lerista timida,Dwarf Burrowing Skink,Reptiles,Reptiles,Species,Victoria,Endangered,Lerista timida
Lissolepis coventryi,12407,Lissolepis coventryi,Swamp Skink,Reptiles,Reptiles,Species,Victoria,Endangered,Lissolepis coventryi
Aprasia aurita,12141,Aprasia aurita,Mallee Worm-Lizard,Reptiles,Reptiles,Species,Victoria,Endangered,Aprasia aurita
Manorina melanotis,10967,Manorina melanotis,Black-eared Miner,Birds,Passerine birds,Species,Victoria,Critically Endangered,Manorina melanotis
Pygopus schraderi,12176,Pygopus schraderi,Hooded Scaly-foot,Reptiles,Reptiles,Species,Victoria,Critically Endangered,Pygopus schraderi
Pachycephala rufogularis,10402,Pachycephala rufogularis,Red-lored Whistler,Birds,Passerine birds,Species,Victoria,Vulnerable,Pachycephala rufogularis
Mastacomys fuscus mordicus,11438,Mastacomys fuscus mordicus,Broad-toothed Rat,Mammals,Mammals,Species,Australia,Vulnerable,Mastacomys fuscus
Pyrrholaemus brunneus,10497,Pyrrholaemus brunneus,Redthroat,Birds,Passerine birds,Species,Victoria,Endangered,Pyrrholaemus brunneus
Eulamprus tympanum marnieae,62958,Eulamprus tympanum marnieae,Corangamite Water Skink,Reptiles,Reptiles,Species,Victoria,Endangered,Eulamprus tympanum
Calidris tenuirostris,10165,Calidris tenuirostris,Great Knot,Birds,Waders,Species,Australia,Critically Endangered,Calidris tenuirostris
Falco hypoleucos,10236,Falco hypoleucos,Grey Falcon,Birds,Other Non-passerine birds,Species,Australia,Vulnerable,Falco hypoleucos
Neophema splendida,10303,Neophema splendida,Scarlet-chested Parrot,Birds,Other Non-passerine birds,Species,Victoria,Endangered,Neophema splendida
Calyptorhynchus lathami,10265,Calyptorhynchus lathami,Glossy Black-Cockatoo,Birds,Other Non-passerine birds,Species,Australia,Vulnerable,Calyptorhynchus lathami
Anthochaera phrygia,10603,Anthochaera phrygia,Regent Honeyeater,Birds,Passerine birds,Species,Australia,Critically Endangered,Anthochaera phrygia
Rhynchoedura ornata,12137,Rhynchoedura ornata,Beaked Gecko,Reptiles,Reptiles,Species,Victoria,Endangered,Rhynchoedura ornata
Planigale gilesi,11050,Planigale gilesi,Gile's Planigale,Mammals,Mammals,Species,Victoria,Vulnerable,Planigale gilesi
Antechinus minimus maritimus,11034,Antechinus minimus maritimus,Swamp Antechinus,Mammals,Mammals,Species,Australia,Vulnerable,Antechinus minimus
Dasyornis broadbenti,10521,Dasyornis broadbenti,Rufous Bristlebird,Birds,Passerine birds,Species,NotListed,NotListed,Dasyornis broadbenti
Thinornis cucullatus,10138,Thinornis cucullatus,Hooded Plover,Birds,Waders,Species,Australia,Vulnerable,Thinornis cucullatus
Furina diadema,12669,Furina diadema,Red-naped Snake,Reptiles,Reptiles,Species,Victoria,Endangered,Furina diadema
Pezoporus wallicus,10311,Pezoporus wallicus,Ground Parrot,Birds,Other Non-passerine birds,Species,Victoria,Endangered,Pezoporus wallicus
Litoria watsoni,13936,Litoria watsoni,Large Brown Tree Frog,Amphibians,Amphibians,Species,Australia,Endangered,Litoria littlejohni
Chelodina expansa,5133,Chelodina expansa,Broad-shelled Turtle,Reptiles,Reptiles,Species,Victoria,Endangered,Chelodina expansa
Pseudemoia cryodroma,12992,Pseudemoia cryodroma,Alpine Bog Skink,Reptiles,Reptiles,Species,Australia,Endangered,Pseudemoia cryodroma
Heleioporus australiacus,13042,Heleioporus australiacus,Giant Burrowing Frog,Amphibians,Amphibians,Species,Victoria,Critically Endangered,Heleioporus australiacus
Litoria verreauxii alpina,63907,Litoria verreauxii alpina,Alpine Tree Frog,Amphibians,Amphibians,Species,Victoria,Critically Endangered,Litoria verreauxii
Synoicus chinensis,10012,Synoicus chinensis,King Quail,Birds,Other Non-passerine birds,Species,Victoria,Endangered,Synoicus chinensis
Gymnobelideus leadbeateri,11141,Gymnobelideus leadbeateri,Leadbeater's Possum,Mammals,Mammals,Species,Australia,Critically Endangered,Gymnobelideus leadbeateri
Tringa brevipes,10155,Tringa brevipes,Grey-tailed Tattler,Birds,Waders,Species,Victoria,Critically Endangered,Tringa brevipes
Tympanocryptis petersi,62921,Tympanocryptis petersi,Lined Earless Dragon,Reptiles,Reptiles,Species,Victoria,Endangered,Tympanocryptis petersi
Parasuta spectabilis,12813,Parasuta spectabilis,Port Lincoln Snake,Reptiles,Reptiles,Species,Victoria,Endangered,Suta spectabilis
Pseudomys novaehollandiae,11455,Pseudomys novaehollandiae,New Holland Mouse,Mammals,Mammals,Species,Victoria,Endangered,Pseudomys novaehollandiae
Eulamprus kosciuskoi,12550,Eulamprus kosciuskoi,Alpine Water Skink,Reptiles,Reptiles,Species,Victoria,Endangered,Eulamprus kosciuskoi
Litoria spenceri,13195,Litoria spenceri,Spotted Tree Frog,Amphibians,Amphibians,Species,Australia,Critically Endangered,Litoria spenceri
Sternula albifrons,10117,Sternula albifrons,Little Tern,Birds,Waders,Species,Victoria,Critically Endangered,Sternula albifrons
Turnix pyrrhothorax,10019,Turnix pyrrhothorax,Red-chested Button-quail,Birds,Other Non-passerine birds,Species,Victoria,Endangered,Turnix pyrrhothorax
Pedionomus torquatus,10020,Pedionomus torquatus,Plains-wanderer,Birds,Other Non-passerine birds,Species,Australia,Critically Endangered,Pedionomus torquatus
Burramys parvus,11156,Burramys parvus,Mountain Pygmy-possum,Mammals,Mammals,Species,Australia,Endangered,Burramys parvus
Coracina maxima,10423,Coracina maxima,Ground Cuckoo-shrike,Birds,Passerine birds,Species,Victoria,Endangered,Coracina maxima
Lichenostomus melanops cassidix,60618,Lichenostomus melanops cassidix,Helmeted Honeyeater,Birds,Passerine birds,Species,Australia,Critically Endangered,Lichenostomus melanops
Morelia spilota spilota,62968,Morelia spilota spilota,Diamond Python,Reptiles,Reptiles,Species,Victoria,Critically Endangered,Morelia spilota
Uperoleia martini,13930,Uperoleia martini,Martin's Toadlet,Amphibians,Amphibians,Species,Victoria,Critically Endangered,Uperoleia martini
Cyclodomorphus praealtus,12987,Cyclodomorphus praealtus,Alpine She-oak Skink,Reptiles,Reptiles,Species,Victoria,Critically Endangered,Cyclodomorphus praealtus
Aprasia parapulchella,12144,Aprasia parapulchella,Pink-tailed Worm-Lizard,Reptiles,Reptiles,Species,Victoria,Endangered,Aprasia parapulchella
Dasyornis brachypterus,10519,Dasyornis brachypterus,Eastern Bristlebird,Birds,Passerine birds,Species,Victoria,Critically Endangered,Dasyornis brachypterus
Liopholis guthega,12432,Liopholis guthega,Guthega Skink,Reptiles,Reptiles,Species,Victoria,Critically Endangered,Liopholis guthega
Litoria booroolongensis,13168,Litoria booroolongensis,Booroolong Tree Frog,Amphibians,Amphibians,Species,Australia,Endangered,Litoria booroolongensis
Chlamydera maculata,10680,Chlamydera maculata,Spotted Bowerbird,Birds,Passerine birds,Species,Victoria,Extinct,Chlamydera maculata
Petrogale penicillata,11215,Petrogale penicillata,Brush-tailed Rock-wallaby,Mammals,Mammals,Species,Victoria,Critically Endangered,Petrogale penicillata
Neophema chrysogaster,10305,Neophema chrysogaster,Orange-bellied Parrot,Birds,Other Non-passerine birds,Species,Victoria,Critically Endangered,Neophema chrysogaster
Dupetor flavicollis,60196,Dupetor flavicollis,Black Bittern,Birds,Other Non-passerine birds,Species,Victoria,Endangered,Ixobrychus flavicollis
Echiopsis curta,12667,Echiopsis curta,Bardick,Reptiles,Reptiles,Species,Victoria,Endangered,Echiopsis curta
Philoria frosti,13106,Philoria frosti,Baw Baw Frog,Amphibians,Amphibians,Species,Australia,Critically Endangered,Philoria frosti
Tympanocryptis pinguicolla,12922,Tympanocryptis pinguicolla,Grassland Earless Dragon,Reptiles,Reptiles,Species,Australia,Critically Endangered,Tympanocryptis pinguicolla
Rankinia diemensis (Anglesea),63940,Rankinia diemensis (Anglesea),Mountain Dragon Angelsea form,Reptiles,Reptiles,Species,NotListed,NotListed,Rankinia diemensis
